,answer,question,label
0,منبع این درس  کامل ,کلاس ها و منابع آموزشی درس تا چه حد در راستای یادگیری های شما کافی و مفید بوده است؟,0
1," خیلی حجیم و با جزئیات بود 
در کلاس ها هم به صورت خیلی سطحی و تئوری بعضی مسائل توضیح داده می شد 
",کلاس ها و منابع آموزشی درس تا چه حد در راستای یادگیری های شما کافی و مفید بوده است؟,0
2,همه چیز خیلی خوب بود,کلاس ها و منابع آموزشی درس تا چه حد در راستای یادگیری های شما کافی و مفید بوده است؟,0
3, فیلم کلاس های آنلاین خیلی کمک کرد,کلاس ها و منابع آموزشی درس تا چه حد در راستای یادگیری های شما کافی و مفید بوده است؟,0
4, بعضی وقت ها ذهن خسته‌س و دیدن فیلم سر فرصت خیلی یادگیری بیشتری میده,کلاس ها و منابع آموزشی درس تا چه حد در راستای یادگیری های شما کافی و مفید بوده است؟,0
5,,کلاس ها و منابع آموزشی درس تا چه حد در راستای یادگیری های شما کافی و مفید بوده است؟,0
6,عالی بود ,کلاس ها و منابع آموزشی درس تا چه حد در راستای یادگیری های شما کافی و مفید بوده است؟,0
7,کلاس ها و منابع مطالعاتی در این درس بسیار مفید و کامل بود,کلاس ها و منابع آموزشی درس تا چه حد در راستای یادگیری های شما کافی و مفید بوده است؟,0
8,,کلاس ها و منابع آموزشی درس تا چه حد در راستای یادگیری های شما کافی و مفید بوده است؟,0
9,خوب بودن ,کلاس ها و منابع آموزشی درس تا چه حد در راستای یادگیری های شما کافی و مفید بوده است؟,0
10,بسیار زیاد,کلاس ها و منابع آموزشی درس تا چه حد در راستای یادگیری های شما کافی و مفید بوده است؟,0
11,عالی بودن و خیلی کمک کردن به من ,کلاس ها و منابع آموزشی درس تا چه حد در راستای یادگیری های شما کافی و مفید بوده است؟,0
12,منابع برای مطالعه کم بودن,کلاس ها و منابع آموزشی درس تا چه حد در راستای یادگیری های شما کافی و مفید بوده است؟,0
13, ,کلاس ها و منابع آموزشی درس تا چه حد در راستای یادگیری های شما کافی و مفید بوده است؟,0
14, قابل درک و مفید بودن,کلاس ها و منابع آموزشی درس تا چه حد در راستای یادگیری های شما کافی و مفید بوده است؟,0
15, ,کلاس ها و منابع آموزشی درس تا چه حد در راستای یادگیری های شما کافی و مفید بوده است؟,0
16, من مجبور شدم به صورت جداگونه گوگل کنم ,کلاس ها و منابع آموزشی درس تا چه حد در راستای یادگیری های شما کافی و مفید بوده است؟,0
17, ,کلاس ها و منابع آموزشی درس تا چه حد در راستای یادگیری های شما کافی و مفید بوده است؟,0
18,کلاسی وجود ندارد و منبع آموزشی اصلی کتاب است,کلاس ها و منابع آموزشی درس تا چه حد در راستای یادگیری های شما کافی و مفید بوده است؟,0
19,,کلاس ها و منابع آموزشی درس تا چه حد در راستای یادگیری های شما کافی و مفید بوده است؟,0
20,به نظر من منابع بسیار خوب و کافی بودند,کلاس ها و منابع آموزشی درس تا چه حد در راستای یادگیری های شما کافی و مفید بوده است؟,0
21,تا حدی,کلاس ها و منابع آموزشی درس تا چه حد در راستای یادگیری های شما کافی و مفید بوده است؟,0
22,تا حد خوبی کافی بوده است,کلاس ها و منابع آموزشی درس تا چه حد در راستای یادگیری های شما کافی و مفید بوده است؟,0
23,اصلا مفید نبوده,کلاس ها و منابع آموزشی درس تا چه حد در راستای یادگیری های شما کافی و مفید بوده است؟,0
24,کلاس های آنلاین برای خیلی از بچه ها مفید بوده تا جایی که نظراتشون رو میشنیدم ,کلاس ها و منابع آموزشی درس تا چه حد در راستای یادگیری های شما کافی و مفید بوده است؟,0
25, من خودم خیلی اوکی نبودم با کلاس ها,کلاس ها و منابع آموزشی درس تا چه حد در راستای یادگیری های شما کافی و مفید بوده است؟,0
26, یادگیری داشتم ,کلاس ها و منابع آموزشی درس تا چه حد در راستای یادگیری های شما کافی و مفید بوده است؟,0
27, در حد آشنایی با مطلب درس ,کلاس ها و منابع آموزشی درس تا چه حد در راستای یادگیری های شما کافی و مفید بوده است؟,0
28,کلاس ها تا حد بسیار زیادی مفید و کافی بوده و سرشار از یادگیری بوده برای من,کلاس ها و منابع آموزشی درس تا چه حد در راستای یادگیری های شما کافی و مفید بوده است؟,0
29,به نظرم عملا کلاس ها و منابع آموزشی کافی نبود و استاد گرامی هم معترف این موضوع بودند,کلاس ها و منابع آموزشی درس تا چه حد در راستای یادگیری های شما کافی و مفید بوده است؟,0
30, ,کلاس ها و منابع آموزشی درس تا چه حد در راستای یادگیری های شما کافی و مفید بوده است؟,0
31,خیلی زیاد,کلاس ها و منابع آموزشی درس تا چه حد در راستای یادگیری های شما کافی و مفید بوده است؟,0
32, مخصوصا کلاس های آنلاین,کلاس ها و منابع آموزشی درس تا چه حد در راستای یادگیری های شما کافی و مفید بوده است؟,0
33,,کلاس ها و منابع آموزشی درس تا چه حد در راستای یادگیری های شما کافی و مفید بوده است؟,0
34,نه چندان کارا,کلاس ها و منابع آموزشی درس تا چه حد در راستای یادگیری های شما کافی و مفید بوده است؟,0
35, مثالها تکراری و خسته کننده است,کلاس ها و منابع آموزشی درس تا چه حد در راستای یادگیری های شما کافی و مفید بوده است؟,0
36, ادبیات مدرس فضای آموزشی مناسبی به وجود نیاورده به گونه‌ای که دانشجویان از پرسیدن سوالات خود تا حد زیادی خودداری میکنند,کلاس ها و منابع آموزشی درس تا چه حد در راستای یادگیری های شما کافی و مفید بوده است؟,0
37, گویا هدف کلاسها صرفا بیان مطالب است نه یادگیری دانشجویان,کلاس ها و منابع آموزشی درس تا چه حد در راستای یادگیری های شما کافی و مفید بوده است؟,0
38,,کلاس ها و منابع آموزشی درس تا چه حد در راستای یادگیری های شما کافی و مفید بوده است؟,0
39,"کم
منبع اصلی جهت مطالعه کتاب درس است که به شدت حجیم و مفصل است",کلاس ها و منابع آموزشی درس تا چه حد در راستای یادگیری های شما کافی و مفید بوده است؟,0
40, کلاسها به دلیل عدم توانایی استاد در انتقال مناسب مطالب و به طور کلی پیشبرد کلاس، برای من اصلا مفید نبوده است,کلاس ها و منابع آموزشی درس تا چه حد در راستای یادگیری های شما کافی و مفید بوده است؟,0
41,,کلاس ها و منابع آموزشی درس تا چه حد در راستای یادگیری های شما کافی و مفید بوده است؟,0
42,بسیار غیر مفید,کلاس ها و منابع آموزشی درس تا چه حد در راستای یادگیری های شما کافی و مفید بوده است؟,0
43,متاسفانه یادگیری من در این درس از سمت تیم آموزشی بسیار کم بود و هرچه آموخته حاصل جستجو های خودم و مطالعه ی منابع دیگر بود,کلاس ها و منابع آموزشی درس تا چه حد در راستای یادگیری های شما کافی و مفید بوده است؟,0
